game_id,season,week,home_team,away_team,home_conference,away_conference,home_points,away_points,provider,spread,total
401309904,2021,12,USC,UCLA,Pac-12,Pac-12,33,62,consensus,3.5,65.5
401287943,2021,12,Kansas State,Baylor,Big 12,Big 12,10,20,consensus,-2.5,50.0
401282262,2021,12,Florida International,North Texas,Conference USA,Conference USA,7,49,consensus,10.0,57.5
401309900,2021,12,Stanford,California,Pac-12,Pac-12,11,41,consensus,2.5,46.0
401282142,2021,12,South Carolina,Auburn,SEC,SEC,21,17,consensus,7.0,45.0
401282139,2021,12,Ole Miss,Vanderbilt,SEC,SEC,31,17,consensus,-36.0,65.5
401282143,2021,12,Tennessee,South Alabama,SEC,Sun Belt,60,14,consensus,-28.5,61.5
401309901,2021,12,Utah,Oregon,Pac-12,Pac-12,38,7,consensus,-3.0,58.5
401282694,2021,12,Miami,Virginia Tech,ACC,ACC,38,26,consensus,-7.0,55.5
401310750,2021,12,Utah State,Wyoming,Mountain West,Mountain West,17,44,consensus,-5.5,52.0
401287946,2021,12,Texas Tech,Oklahoma State,Big 12,Big 12,0,23,consensus,10.0,55.0
401282138,2021,12,LSU,UL Monroe,SEC,Sun Belt,27,14,consensus,-29.0,57.5
401310748,2021,12,Boise State,New Mexico,Mountain West,Mountain West,37,0,consensus,-27.5,48.0
401309902,2021,12,Oregon State,Arizona State,Pac-12,Pac-12,24,10,consensus,3.0,59.0
401310749,2021,12,Hawai'i,Colorado State,Mountain West,Mountain West,50,45,consensus,3.0,53.5
401309593,2021,13,Ball State,Buffalo,Mid-American,Mid-American,20,3,consensus,-6.0,59.5
401309594,2021,13,Northern Illinois,Western Michigan,Mid-American,Mid-American,21,42,consensus,7.0,58.5
401310757,2021,13,San José State,Fresno State,Mountain West,Mountain West,9,40,consensus,7.0,52.5
401282151,2021,13,Mississippi State,Ole Miss,SEC,SEC,21,31,consensus,-2.0,65.0
401287952,2021,13,Texas,Kansas State,Big 12,Big 12,22,17,consensus,-2.5,54.5
401309595,2021,13,Central Michigan,Eastern Michigan,Mid-American,Mid-American,31,10,consensus,-8.5,63.5
401310753,2021,13,San Diego State,Boise State,Mountain West,Mountain West,27,16,consensus,3.0,44.5
401309596,2021,13,Bowling Green,Ohio,Mid-American,Mid-American,21,10,consensus,6.5,48.5
401310755,2021,13,New Mexico,Utah State,Mountain West,Mountain West,10,35,consensus,17.0,48.0
401282761,2021,13,Nebraska,Iowa,Big Ten,Big Ten,21,28,consensus,-1.0,41.0
401282274,2021,13,UAB,UTEP,Conference USA,Conference USA,42,25,consensus,-13.5,50.5
401310752,2021,13,Air Force,UNLV,Mountain West,Mountain West,48,14,consensus,-18.5,49.5
401309648,2021,13,South Alabama,Coastal Carolina,Sun Belt,Sun Belt,21,27,consensus,15.0,55.0
401301050,2021,13,UCF,South Florida,American Athletic,American Athletic,17,13,consensus,-17.0,62.0
401282145,2021,13,Arkansas,Missouri,SEC,SEC,34,17,consensus,-14.5,63.5
