game_id,half_spread,half_total
401752766,-1.5,24.5
401752900,-20.5,26.5
401754594,-7.5,27.5
401752770,-3.5,24.5
401757302,2.5,27.5
401752953,-6.5,21.5
401756950,-1.5,26.5
401760412,-1.5,19.5
401760410,-0.5,20.5
401762864,3.5,19.5
401762862,-0.5,23.5
401762863,-20.5,29.5
401762865,0.5,19.5
401762866,4.5,24.5
401761655,-1.5,26.5
401754598,3.5,29.5
401760418,-1.5,31.5
401752909,-2.5,19.5
401756958,-2.5,27.5
401752778,-3.5,20.5
401754606,-9.5,26.5
401752781,-28.5,33.5
401752912,-17.5,29.5
401754602,-2.5,23.5
401754603,9.5,25.5
401762512,-5.5,21.5
401752776,-26.5,31.5
401752954,-8.5,22.5
401756954,-3.5,30.5
401761657,6.5,31.5
401752774,-14.5,27.5
401760419,-3.5,20.5
401752773,-27.5,30.5
401762867,-16.5,24.5
401757306,-3.5,27.5
401761656,2.5,27.5
401757307,0.5,22.5
401757175,3.5,31.5
401762511,11.5,35.5
401757308,-3.5,26.5
401757309,-2.5,21.5
401752782,-4.5,27.5
401762513,0.5,31.5
401752913,-10.5,21.5
401752911,-6.5,30.5
401754600,3.5,25.5
401752780,-4.5,28.5
401754604,-22.5,28.5
401761658,0.5,26.5
401762515,3.5,27.5
401761660,-6.5,25.5
401756960,-9.5,27.5
401756959,-7.5,23.5
401756957,0.5,27.5
401752914,7.5,23.5
401752779,-13.5,26.5
401754605,-21.5,30.5
401761659,-11.5,30.5
401754601,-1.5,30.5
401760416,-9.5,23.5
401760415,2.5,26.5
401752908,-4.5,22.5
401752775,2.5,28.5
401752915,4.5,21.5
401754599,2.5,23.5
401762514,10.5,30.5
401752777,-13.5,27.5
401756956,3.5,23.5
401756955,0.5,27.5
401752910,6.5,26.5
401760417,-0.5,24.5
401760420,-6.5,26.5
401762868,7.5,22.5
401762869,5.5,24.5
401762516,-2.5,28.5
401762871,-2.5,21.5
401752916,3.5,19.5
401756964,6.5,30.5
401762870,3.5,21.5
401752788,4.5,30.5
401760421,0.5,23.5
401752786,9.5,30.5
401762442,-11.5,33.5
401760426,0.5,20.5
401760422,0.5,27.5
401752924,16.5,28.5
401752792,0.5,26.5
401756961,0.5,23.5
401762875,-9.5,20.5
401752921,5.5,21.5
401756966,7.5,23.5
401752790,-0.5,22.5
401756965,-9.5,26.5
401752787,0.5,22.5
401754611,3.5,24.5
401756962,-0.5,28.5
401756968,13.5,28.5
401762872,6.5,23.5
401762519,3.5,34.5
401757311,6.5,25.5
401756963,-9.5,23.5
401757310,-2.5,27.5
401761663,-6.5,31.5
401757314,-1.5,22.5
401757312,0.5,27.5
401761664,-17.5,31.5
401761661,-0.5,27.5
401761665,-6.5,23.5
401754608,1.5,26.5
401757315,-2.5,26.5
401762517,-5.5,27.5
401761667,-6.5,31.5
401762441,-4.5,24.5
401756967,-1.5,29.5
401757313,1.5,27.5
401752918,0.5,18.5
401752920,7.5,28.5
401761666,-3.5,24.5
401752791,-0.5,32.5
401754610,-0.5,27.5
401752783,2.5,27.5
401752789,-6.5,17.5
401761662,13.5,28.5
401752785,-0.5,24.5
401752923,-2.5,23.5
401754613,-5.5,26.5
401762520,-16.5,30.5
401752922,-3.5,21.5
401752784,3.5,23.5
401754612,-4.5,23.5
401752919,-12.5,30.5
401762518,-17.5,28.5
401754609,7.5,27.5
401760425,4.5,26.5
401760423,1.5,22.5
401754614,18.5,27.5
401760424,-5.5,22.5
401777329,-0.5,20.5
401777351,0.5,23.5
401777353,-2.5,22.5
401777328,-2.5,28.5
401754528,-9.5,27.5
401752817,-17.5,27.5
401752826,-9.5,22.5
401760363,-18.5,31.5
401757227,3.5,24.5
401752825,0.5,23.5
401752812,-21.5,28.5
401754529,-13.5,24.5
401752822,-1.5,20.5
401754621,-26.5,32.5
401756885,-28.5,35.5
401752811,-26.5,30.5
